@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
70,25,17.6,2.7,6.3,1.2,1.9,2,2.9,0.7,0.1,1.7,7.5,NaN,18
72,21,16.9,2,4.1,1,1.3,1.9,1.1,0.4,0.3,1,5.4,NaN,16.1
80,38,30.1,5,10.3,2.7,3.2,4.2,2.5,0.8,0.4,1.7,13.2,NaN,13
80,21,27.8,3.8,6.9,1.8,2.9,7.5,1.3,1.2,0.6,1,9.4,NaN,25
70,24,12.3,1.4,3.3,0.5,0.6,1,2.2,0.3,0.1,1,3.6,NaN,15.4
80,28,17.7,2.9,5.6,2.7,3.7,3.7,0.9,0.4,0.1,1,8.4,NaN,7.6
16,24,5,0.3,0.3,0.4,0.8,0.4,0,0.1,0.3,0.2,0.9,NaN,-0.3
31,26,5.4,1,1.9,0.5,0.7,2.2,0.2,0.1,0.4,0.4,2.4,NaN,4.8
47,24,7.9,0.4,0.9,0.4,0.7,1.6,0.1,0.2,0.3,0.4,1.1,NaN,4
1,22,1.7,0,0,0,0,0,0,0,0,0,0,NaN,3.8
81,32,31.4,4,8.9,1.3,1.9,4.4,4.2,0.9,0.4,1.6,10.8,NaN,16.8
61,23,12.9,1.7,3.9,0.5,0.7,2,0.6,0.3,0.1,0.6,4.9,NaN,8.2
53,26,9.2,0.7,1.4,0.3,0.6,2.5,0.3,0.3,0.4,0.5,1.7,NaN,0
56,24,8.7,1,1.8,1.1,1.5,2.1,0.1,0.3,0.3,0.4,3.1,NaN,10
36,27,13,2.3,4.1,1.1,1.7,3.2,0.1,0.1,0.1,0.6,5.8,NaN,1
20,33,6.5,0.3,1.1,0.2,0.4,1,0.7,0.4,0.1,0.3,0.7,NaN,0
43,22,10.3,1,2.7,0.3,0.5,1.1,1.8,0.4,0,0.8,2.3,NaN,4.8
81,27,20.6,3.5,8,1.6,1.9,2,3.9,0.4,0,1.7,9.5,NaN,16.1
80,22,28.2,5.4,11.7,3.1,4.6,8.7,1.1,0.6,0.7,2.2,13.8,NaN,13.1
